caseId,expected,route,jev_correct,gemini_correct,cascade_correct,chosen_status,nativeConfidence,accounted_usd,simulated_ms
test-1,card_arrival,gemini,True,True,True,ok,0.94,0.001170954,2065.9812750000274
test-1006,top_up_reverted,jev,False,False,False,ok,1,6.741e-05,313.04631499992684
test-101,exchange_rate,gemini,True,True,True,ok,0.99,0.000691326,1769.6743959999876
test-1015,top_up_reverted,jev,True,True,True,ok,1,6.7326e-05,368.91376100003254
test-1016,top_up_reverted,gemini,True,True,True,ok,0.71,0.000696618,1694.577376000001
test-1022,top_up_reverted,jev,True,True,True,ok,1,6.7662e-05,420.63286700000026
test-1026,top_up_reverted,jev,True,True,True,ok,1,6.7326e-05,386.37077000003774
test-103,exchange_rate,jev,True,True,True,ok,1,6.741e-05,338.59932399999525
test-1033,top_up_reverted,gemini,True,True,True,ok,0.53,0.000690534,2416.332441999999
test-1037,top_up_reverted,gemini,True,True,True,ok,0.73,0.0006958260000000001,2182.8705499999924
test-1048,balance_not_updated_after_cheque_or_cash_deposit,gemini,True,True,True,ok,0.98,0.0006950760000000001,1866.584544000012
test-1054,balance_not_updated_after_cheque_or_cash_deposit,gemini,False,False,False,ok,0.47,0.000700578,1986.2854679999873
test-1055,balance_not_updated_after_cheque_or_cash_deposit,gemini,True,True,True,ok,0.99,0.000702162,2343.220439000055
test-1061,balance_not_updated_after_cheque_or_cash_deposit,jev,True,True,True,ok,1,6.7578e-05,404.5297590000555
test-1068,balance_not_updated_after_cheque_or_cash_deposit,gemini,True,True,True,ok,0.89,0.000704538,2001.4348940000345
test-1075,balance_not_updated_after_cheque_or_cash_deposit,gemini,True,True,True,ok,0.98,0.0007227539999999999,1721.9274469999946
test-1080,card_payment_not_recognised,gemini,False,True,True,ok,0.59,0.0009733680000000001,1986.8650049999997
test-1081,card_payment_not_recognised,gemini,True,True,True,ok,0.99,0.0006765359999999999,1857.5251760000829
test-1084,card_payment_not_recognised,gemini,True,True,True,ok,0.84,0.0006950760000000001,1838.6439180000016
test-110,exchange_rate,gemini,True,True,True,ok,0.99,0.00069666,1674.1716219999944
test-1101,card_payment_not_recognised,gemini,True,True,True,ok,0.78,0.0006958680000000001,1817.4301179999893
test-1104,card_payment_not_recognised,gemini,False,True,True,ok,0.41,0.0006733679999999999,1654.6249110000208
test-111,exchange_rate,jev,True,True,True,ok,1,6.7368e-05,374.3707510000095
test-1113,card_payment_not_recognised,gemini,True,True,True,ok,0.99,0.0007147500000000001,1814.9237300000386
test-1116,card_payment_not_recognised,gemini,True,True,True,ok,0.98,0.00070137,1665.017491000006
test-1122,edit_personal_details,jev,True,True,True,ok,1,6.7326e-05,323.4009149999765
test-1129,edit_personal_details,jev,True,True,True,ok,1,6.7494e-05,435.8616959999781
test-1131,edit_personal_details,jev,True,True,True,ok,1,6.741e-05,377.18427099997643
test-1146,edit_personal_details,jev,True,True,True,ok,1,6.741e-05,350.14098300004844
test-1156,edit_personal_details,jev,True,True,True,ok,1,6.7494e-05,351.98126300000877
test-1158,edit_personal_details,jev,True,True,True,ok,1,6.7326e-05,397.997818999982
test-1161,why_verify_identity,gemini,False,True,True,ok,0.46,0.000696618,1845.486145999981
test-1162,why_verify_identity,gemini,True,True,True,ok,0.7,0.000678912,1682.3601980000094
test-1168,why_verify_identity,jev,True,True,True,ok,1,6.7284e-05,335.6381040000124
test-118,exchange_rate,gemini,True,True,True,ok,0.74,0.000694284,1736.361475999991
